SN_name,redshift,x1_stretch,distance_modulus,mu_error
2012cg,0.00256,0.49196,30.7233,0.782372
2012cg,0.00256,0.71261,30.7449,0.799068
2013aa,0.00331,0.51292,30.4604,0.594683
2013aa,0.00331,0.63346,30.5528,0.580251
2017cbv,0.00331,0.61655,30.4013,0.578445
2017cbv,0.00331,0.81895,30.5107,0.578546
1990N,0.00359,0.62892,31.6969,0.550993
2013dy,0.00432,0.87178,31.499,0.514259
2013dy,0.00432,1.17027,31.5611,0.530838
2012fr,0.00483,1.49515,31.1331,0.446882
2012fr,0.00483,1.1575,31.2234,0.410577
2007sr,0.00571,0.10543,31.6799,0.375913
2007sr,0.00571,0.056985,31.6292,0.385756
1994ae,0.00588,0.43761,32.1822,0.339643
2018gv,0.00602,0.39823,31.9404,0.344335
2018gv,0.00602,0.59016,32.0666,0.343707
2018gv,0.00602,0.12088,31.9102,0.350249
2007le,0.0063,0.20586,32.0754,0.533991
2007le,0.0063,0.23463,32.0843,0.537335
2007le,0.0063,0.27267,32.0203,0.538159
1998dm,0.00631,0.56097,32.8333,0.562902
2019np,0.00648,0.11525,32.4608,0.318474
2019np,0.00648,0.11384,32.4338,0.32229
1997br,0.00665,0.33528,31.7321,0.531169
1995al,0.00673,1.20311,32.3593,0.359446
2017erp,0.00677,0.26056,32.1951,0.34053
2017erp,0.00677,0.47218,32.1729,0.371125
2017erp,0.00677,0.35115,32.2048,0.34795
2002fk,0.00719,0.093397,32.4423,0.300309
2002fk,0.00719,0.062106,32.4642,0.300269
2003du,0.00747,0.25827,32.7943,0.289134
2003du,0.00747,0.23579,32.7423,0.294759
2003du,0.00747,0.24375,32.7685,0.292411
2003kf,0.00795,0.52479,32.6418,0.362719
2009ig,0.00815,1.2958,32.3711,0.371926
2009ig,0.00815,1.07171,32.7434,0.280148
2009ig,0.00815,1.24376,32.6707,0.286975
1995D,0.00818,0.72785,32.484,0.342662
1999cp,0.00954,0.023621,33.0399,0.268981
1999cp,0.00954,0.28727,33.2135,0.253629
2002dj,0.00957,0.071339,32.8654,0.334488
1998es,0.00966,1.23442,32.8029,0.35789
1998es,0.00966,1.62734,32.9165,0.372831
PTF10icb,0.00993,0.64439,33.4753,0.372879
2009Y,0.00996,0.26874,32.7458,0.360296
2009Y,0.00996,0.35708,32.9015,0.334006
2013E,0.01016,0.35982,32.7794,0.348547
1999ac,0.01017,0.11098,32.9182,0.365223
1999ac,0.01017,0.16103,32.9674,0.341878
2021hpr,0.01044,0.24592,33.0869,0.343916
1997do,0.01073,0.39341,33.1081,0.364668
2008fv_comb,0.01079,0.73924,33.1809,0.377969
